大同區,62,2806
信義區,20,2539
士林區,24,1299
萬華區,119,5460
內湖區,6,538
文山區,5,133
大安區,51,4462
北投區,35,1720
南港區,12,1786
松山區,39,2899
中山區,137,9725
中正區,110,8353
